SU,Site,WaveHeight
2103296,Daytona,0.72351198
2105344,Daytona,0.778126579
2107392,Daytona,0.676743865
2109440,Daytona,0.667858982
2111488,Daytona,0.576984106
2113536,Daytona,0.739941658
2115584,Daytona,0.763127415
2117632,Daytona,0.781020661
2119680,Daytona,0.674182446
2121728,Daytona,0.739058395
2123776,Daytona,0.708744546
2125824,Daytona,0.670734605
2127872,Daytona,0.699967436
2129920,Daytona,0.663377573
2131968,Daytona,0.732241132
2134016,Daytona,0.762019206
2136064,Daytona,0.634178662
2138112,Daytona,0.71173654
2140160,Daytona,0.657338691
2142208,Daytona,0.671364176
2144256,Daytona,0.77465295
2146304,Daytona,0.649683202
2148352,Daytona,0.782043865
2150400,Daytona,0.647726248
2152448,Daytona,0.60586186
2154496,Daytona,0.613487902
2156544,Daytona,0.551641712
2158592,Daytona,0.611502617
2160640,Daytona,0.644192182
2162688,Daytona,0.664704361
2164736,Daytona,0.639327554
2166784,Daytona,0.596586031
2168832,Daytona,0.63074641
2170880,Daytona,0.671935141
2172928,Daytona,0.599094638
2174976,Daytona,0.631292673
2177024,Daytona,0.622578523
2179072,Daytona,0.596292791
2181120,Daytona,0.589932401
2183168,Daytona,0.588201785
2185216,Daytona,0.678881198
2187264,Daytona,0.604275404
2189312,Daytona,0.670392982
2191360,Daytona,0.61774656
2193408,Daytona,0.662894992
2195456,Daytona,0.638828964
2197504,Daytona,0.602054788
2199552,Daytona,0.641915951
2201600,Daytona,0.556565873
2203648,Daytona,0.602210903
2205696,Daytona,0.582557091
2207744,Daytona,0.646298837
2209792,Daytona,0.588988878
2211840,Daytona,0.576560219
2213888,Daytona,0.681506921
2215936,Daytona,0.631376406
2217984,Daytona,0.612024206
2220032,Daytona,0.636037967
2222080,Daytona,0.577668795
2224128,Daytona,0.669245072
2226176,Daytona,0.663112305
2228224,Daytona,0.636134132
2230272,Daytona,0.696082446
2232320,Daytona,0.619736816
2234368,Daytona,0.764909483
2236416,Daytona,0.72517402
2238464,Daytona,0.74058214
2240512,Daytona,0.739366908
2242560,Daytona,0.763434978
2244608,Daytona,0.598743917
2246656,Daytona,0.735625321
2248704,Daytona,0.761545986
2250752,Daytona,0.86130188
2252800,Daytona,0.585581277
2254848,Daytona,0.832157283
2256896,Daytona,0.728364109
2258944,Daytona,0.694248252
2260992,Daytona,0.792390572
2263040,Daytona,0.760368389
2265088,Daytona,0.805790433
2267136,Daytona,0.929079698
2269184,Daytona,0.828774952
2271232,Daytona,0.807402757
2273280,Daytona,0.810983976
2275328,Daytona,0.781539869
2277376,Daytona,0.905830082
2279424,Daytona,0.841519228
